REQUIREMENT REPORT

Role|Requirement ID|Requirement Title|Requirement Description|Citation|Requirement Related Title
---|---|---|---|---|---
Authentication System|FR-01|User Registration with Email Verification|The system must allow users to register by entering an email, receiving a verification code via email, verifying the code, setting a password, hashing the password with bcrypt, and storing user information in MongoDB.|Page 4, Section IV.C.1|User Registration
Authentication System|FR-02|Password Encryption with Bcrypt|The system must use bcrypt for password hashing with a salt and configurable work factor (e.g., 10 rounds) to securely store passwords, and verify passwords by comparing hashes.|Page 3, Section III.D|Web App Security
Authentication System|FR-03|JWT Token Generation and Validation|The system must generate JWT tokens with header, payload, and signature using the jsonwebtoken library, and validate tokens on incoming requests.|Page 3, Section III.D|Web App Security
Authentication System|FR-04|Token Blacklisting Mechanism|The system must implement a token blacklist using MongoDB to revoke JWT tokens before expiration, storing revoked tokens with an expiration time of 1 hour.|Page 3, Section III.D|Web App Security
Authentication System|FR-05|TOTP Generation and Verification|The system must generate a unique secret key for users using speakeasy library during registration, and verify TOTP codes for 2FA authentication.|Page 2, Section III.B|TOTP Implementation
Authentication System|FR-06|Passkey Registration|The system must handle Passkey registration by generating WebAuthn registration options, creating a session record, verifying credentials using WebAuthn libraries, and storing credentials (ID, public key, counter, device name) in the database.|Page 4, Section IV.C.4|Passkey Registration
Authentication System|FR-07|Passkey Authentication|The system must handle Passkey login by generating WebAuthn authentication options, verifying responses, updating credential counters to prevent replay attacks, and generating JWT tokens upon success.|Page 4-5, Section IV.C.5|Passkey Login Process
Authentication System|FR-08|OAuth2 Google Login Integration|The system must integrate Google OAuth2 using Passport.js, redirecting users to Google for authorization, exchanging authorization codes for access tokens, retrieving user profiles, and generating JWT tokens.|Page 4, Section IV.C.3|Google Login
Authentication System|FR-09|Email-Based Two-Factor Authentication|The system must send verification codes via Nodemailer for 2FA during login, store codes in Redis with expiration, and verify codes to complete authentication.|Page 4, Section IV.C.2|Email and Verification Code Authentication Flow
Authentication System|FR-10|Rate Limiting|The system must implement rate limiting using express-rate-limit to prevent brute-force attacks by limiting the number of requests.|Page 5, Section IV.D|Rate Limiting
Authentication System|FR-11|Session Management|The system must manage user sessions using express-session for secure and efficient session handling.|Page 5, Section IV.D|Session Management
Authentication System|FR-12|Caching with Redis|The system must use Redis to cache temporary data such as verification codes with expiration times to improve performance and reduce database load.|Page 5, Section IV.D|Caching
Authentication System|FR-13|HTTP Header Security|The system must use helmet middleware to secure HTTP headers and reduce vulnerabilities to common web attacks.|Page 5, Section IV.D|HTTP Header Security
Authentication System|FR-14|API Endpoints for Passkey Management|The system must provide API endpoints for Passkey registration (/auth/passkey/register-options, /auth/passkey/register-verify), authentication (/auth/passkey/auth-options, /auth/passkey/auth-verify), and management (/auth/passkey/list, /auth/passkey/:id).|Page 3, Section III.E|Implementation Details
Authentication System|FR-15|Environment Variables Management|The system must use dotenv to securely manage configuration parameters such as secrets and database connections.|Page 4, Section IV.B|Technologies Framework
Authentication System|NF-01|Brute Force Protection|The system must demonstrate adversarial robustness by preventing brute-force attacks through Passkey's challenge-response mechanism, bcrypt hashing, and rate limiting.|Page 2, Section III.A|Passkey Security Characteristics
Authentication System|NF-02|Phishing Prevention|The system must ensure adversarial robustness by binding Passkey authentication to specific domains, preventing phishing even on fraudulent sites.|Page 2, Section III.A|Passkey Security Characteristics
Authentication System|NF-03|Replay Attack Prevention|The system must maintain adversarial robustness by generating new random challenges for each authentication attempt and using timestamped signatures in Passkey.|Page 2, Section III.A|Passkey Security Characteristics
Authentication System|NF-04|Data Privacy through Encryption|The system must uphold data privacy levels by using bcrypt for password hashing with salts, JWT for secure token-based access, and WebAuthn for passwordless authentication.|Page 3, Section III.D|Web App Security
Authentication System|NF-05|System Resilience with Fallback Mechanisms|The system must provide system resilience by prioritizing Passkey as primary authentication with TOTP as a backup, supporting smooth transitions and legacy compatibility.|Page 2, Section III|Methodology
Authentication System|NF-06|Integrity Benchmarks for Authentication|The system must meet integrity benchmarks by employing cryptographic strength in Passkey (public-private key mechanism) and TOTP (AES/DES encryption), ensuring secure user access.|Page 1, Section II|Literature Review
Authentication System|NF-07|Adversarial Robustness against Timing Attacks|The system must exhibit adversarial robustness by addressing TOTP vulnerabilities like time synchronization issues that could allow forward-replay attacks.|Page 2, Section III.B|TOTP Implementation
Authentication System|NF-08|Data Privacy in Token Management|The system must ensure data privacy levels by implementing JWT blacklisting to revoke tokens and prevent unauthorized access after compromise.|Page 3, Section III.D|Web App Security
Authentication System|NF-09|System Resilience in Deployment|The system must achieve system resilience through Docker-based deployment, modular architecture, and isolation to reduce security risks.|Page 3, Section III|Methodology
Authentication System|NF-10|Integrity Benchmarks for Password Security|The system must maintain integrity benchmarks by using bcrypt's work factor to resist brute-force attacks better than SHA-256.|Page 3, Section III.D|Web App Security
Authentication System|NF-11|Adversarial Robustness in Multi-Factor Scenarios|The system must provide adversarial robustness by integrating 2FA with email verification and OAuth2 to mitigate risks like password compromise.|Page 5, Section IV.D|Two-Factor Authentication (2FA)
Authentication System|NF-12|Data Privacy in Credential Storage|The system must uphold data privacy levels by securely storing Passkey credentials (public key, counter) in MongoDB without exposing private keys.|Page 3, Section III.E|Implementation Details
Authentication System|NF-13|System Resilience against Legacy Limitations|The system must ensure system resilience by providing fallback to TOTP for devices not supporting Passkeys and gradual rollout strategies.|Page 5, Section IV.E|Implementation Considerations
Authentication System|NF-14|Integrity Benchmarks for Session Security|The system must meet integrity benchmarks by using express-session and helmet to secure sessions and HTTP headers against common attacks.|Page 5, Section IV.D|Session Management
Authentication System|NF-15|Adversarial Robustness in OAuth Integration|The system must demonstrate adversarial robustness by handling OAuth2 scopes and token exchanges securely to protect user data.|Page 5, Section IV.D|OAuth2 Integration
